Skater,Height,Weight,Position,Last Amateur Club,League,7/11/2022,11/15/2022,1/31/2023,3/7/2023,8/8/2022,11/1/2022,3/1/2023,9/29/2022,11/30/2022,1/10/2023,3/28/2023,9/22/2022,1/23/2023,9/20/2022,12/23/2022,4/19/2023,12/19/2022,1/17/2023,3/23/2023,12/19/2022,11/3/2022,8/23/2022,1/19/2023,2/8/2023,3/31/2023,10/19/2022,11/16/2022,12/14/2022,1/18/2023,2/15/2023,3/15/2023,4/12/2023,11/8/2022,1/31/2023,10/3/2022,1/26/2023,4/20/2023,11/25/2022,3/9/2023,2/9/2023,11/7/2022,1/12/2023,1/16/2023,5/1/2023,5/3/2023,10/11/2022,12/15/2022,4/25/2023,5/5/2023,5/5/2023,5/5/2023,5/2/2023,12/15/2022,2/6/2023,5/12/2023,5/11/2023,5/15/2023,5/17/2023,5/18/2023,5/28/2023,5/28/2023,5/29/2023,5/30/2023,5/31/2023,6/1/2023,6/5/2023,6/5/2023,6/6/2023
"BRINDLEY, GAVIN","5' 8""",165,CENTER,MICHIGAN,BIG10,22,,,34,26,24,25,,,,23,,43,24,16,13,25,24,22,20,32,28,21,34,19,,,,,,,,40,22,30,21,30,9,9,14,25,33,13,24,29,29,27,25,,31,22,23,,25,19,9,34,30,23,9,26,31,29,12,25,24,21,15
"GULYAYEV, MIKHAIL","5' 10""",172,DEFENSEMAN,OMSK JR.,RUSSIA-JR.,12,22,26,25,12,12,16,13,20,20,31,,24,12,13,19,13,21,25,13,20,25,22,17,28,15,15,17,17,18,19,25,20,18,21,14,22,11,16,15,13,13,24,22,30,15,16,19,,23,24,20,13,16,43,13,37,23,21,16,19,23,30,13,33,21,30,16
"WOOD, MATTHEW","6' 4""",193,RIGHT WING,UCONN,H-EAST,10,15,17,19,9,11,12,17,25,24,18,,14,13,22,33,28,28,21,29,11,5,16,21,22,23,30,,22,21,21,20,12,24,12,27,20,,31,27,27,27,,10,14,14,25,33,12,20,19,11,9,19,13,36,11,14,16,31,10,15,14,37,7,10,16,17
"YAGER, BRAYDEN","5' 11""",166,CENTER,MOOSE JAW,WHL,11,8,14,12,7,6,13,5,8,11,12,4,7,6,14,25,14,23,20,22,5,4,10,12,12,5,5,5,7,8,9,15,5,13,4,17,19,12,23,7,4,7,5,14,16,5,5,7,,21,18,24,6,17,12,31,18,17,10,26,30,21,16,32,14,15,22,18
"CRISTALL, ANDREW","5' 10""",167,LEFT WING,KELOWNA,WHL,,33,28,33,13,13,7,22,16,8,9,,18,11,6,8,5,6,8,7,24,22,6,7,7,25,24,,30,24,14,18,14,6,15,6,16,7,6,9,11,10,17,13,,32,19,14,,17,21,17,12,8,20,15,35,25,12,12,25,20,68,18,24,13,19,19
"MUSTY, QUENTIN","6' 2""",200,LEFT WING,SUDBURY,OHL,,,21,22,25,22,20,,42,36,28,,26,26,27,15,18,14,11,19,,18,17,28,39,,,28,21,23,22,23,43,29,24,24,21,,21,24,26,25,33,18,21,11,44,38,,22,39,25,18,21,15,19,31,31,17,13,36,22,21,11,32,18,12,20
"HEIDT, RILEY","5' 10""",178,CENTER,PRINCE GEORGE,WHL,19,,,,16,18,18,21,18,17,21,,22,16,11,14,19,18,18,11,23,21,20,23,21,14,14,15,24,20,20,27,17,25,14,12,11,16,17,19,20,21,25,21,,12,14,23,,13,32,19,17,15,47,29,51,26,19,17,29,13,59,27,30,23,27,21
"LEONARD, RYAN","6' 0""",192,RIGHT WING,USA U-18,NTDP,20,16,16,15,20,15,15,,13,13,13,,10,22,19,12,17,9,7,10,17,17,12,10,10,20,8,9,6,7,8,8,35,11,23,13,9,31,12,25,22,14,16,11,13,54,23,9,7,6,5,7,23,10,10,14,12,6,13,11,8,6,11,9,6,11,6,22
"HALTTUNEN, KASPER","6' 3""",207,RIGHT WING,HIFK,FINLAND,6,24,,,22,19,33,18,24,23,32,16,29,14,20,37,30,49,71,,12,14,,29,30,12,12,14,25,,,,27,30,17,57,36,,62,26,30,19,47,,,36,20,59,,38,26,36,,45,84,,25,,51,52,33,38,46,64,37,34,62,23
"SIMASHEV, DMITRIY","6' 4""",198,DEFENSEMAN,YAROSLAVL JR.,RUSSIA-JR.,,13,15,17,,,48,,,,66,,35,,44,9,11,12,10,14,,,,,,,,,,,,,25,14,,26,17,21,15,37,,24,37,,10,,,24,,18,,21,,23,24,8,49,,26,10,9,14,10,10,28,36,10,24
"PERRON, JAYDEN","5' 9""",163,RIGHT WING,CHICAGO,USHL,,,,,27,25,28,,,,62,,50,,24,11,10,10,19,12,,,,,46,,,,,,,,21,34,,36,38,8,13,17,,31,48,27,,40,46,31,,41,40,27,32,31,59,16,86,,32,15,34,41,108,16,52,28,29,25
"RITCHIE, CALUM","6' 2""",185,CENTER,OSHAWA,OHL,16,17,22,23,10,9,19,10,19,29,25,6,13,8,10,24,22,29,28,18,9,10,25,22,27,9,11,13,14,22,24,,7,21,10,22,23,10,26,10,8,12,23,19,27,7,8,15,,24,25,26,15,26,33,58,13,29,24,33,24,24,27,39,18,19,14,26
"DANIELSON, NATE","6' 2""",185,CENTER,BRANDON,WHL,7,11,9,5,14,28,22,20,21,18,17,11,15,18,33,18,29,25,26,25,19,11,23,19,17,18,19,19,18,14,12,11,13,8,13,20,18,24,14,18,16,16,10,20,6,20,10,13,,19,17,16,16,22,9,30,19,15,22,14,13,18,7,30,13,20,26,27
"EDSTROM, DAVID","6' 3""",185,CENTER,FROLUNDA JR.,SWEDEN-JR.,,,,,,,,,,,67,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,33,,,,,82,35,22,,59,54,31,33,18,41,23,49,42,28
"GAUTHIER, ETHAN","5' 11""",175,RIGHT WING,SHERBROOKE,QMJHL,,31,34,32,,17,24,14,12,12,15,12,16,30,29,32,23,19,30,,15,32,,20,20,24,20,16,23,25,28,26,15,28,22,18,24,,,23,12,15,18,28,32,47,11,18,,25,29,28,22,18,28,,17,28,38,79,40,25,35,94,31,30,31,29
"WHITELAW, WILLIAM","5' 9""",173,RIGHT WING,YOUNGSTOWN,USHL,,,,,,48,64,,64,,,,65,,45,30,24,16,23,26,,29,,,,,,,,,,,26,44,29,31,28,18,24,29,,45,50,,,18,28,48,,29,,35,,33,35,22,54,,62,23,39,29,112,28,76,57,48,30
"BUT, DANIL","6' 5""",203,LEFT WING,YAROSLAVL JR.,RUSSIA-JR.,18,10,8,8,23,30,31,,52,51,49,,25,,,52,,36,37,46,,,30,,41,,,,,,16,17,36,19,,34,41,,44,47,32,38,30,26,9,28,33,39,,36,28,29,,37,27,12,30,21,31,29,15,36,9,15,20,26,24,31
"KANTSEROV, ROMAN","5' 9""",176,RIGHT WING,MAGNITOGORSK JR.,RUSSIA-JR.,,,,,,,,,34,34,34,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,30,,,,,,30,41,50,,,,53,,,51,49,38,,50,60,57,53,76,52,95,65,72,32
"MORIN, ETIENNE","6' 0""",180,DEFENSEMAN,MONCTON,QMJHL,,,,,,36,34,30,29,26,29,,60,,,,,,73,,,,,,37,,,,,,,,,68,,43,57,,60,57,,58,,31,,,92,65,,57,35,44,,48,40,,55,,40,72,50,59,40,83,40,32,71,33
