Skater,Height,Weight,Position,Last Amateur Club,League,7/11/2022,11/15/2022,1/31/2023,3/7/2023,8/8/2022,11/1/2022,3/1/2023,9/29/2022,11/30/2022,1/10/2023,3/28/2023,9/22/2022,1/23/2023,9/20/2022,12/23/2022,4/19/2023,12/19/2022,1/17/2023,3/23/2023,12/19/2022,11/3/2022,8/23/2022,1/19/2023,2/8/2023,3/31/2023,10/19/2022,11/16/2022,12/14/2022,1/18/2023,2/15/2023,3/15/2023,4/12/2023,11/8/2022,1/31/2023,10/3/2022,1/26/2023,4/20/2023,11/25/2022,3/9/2023,2/9/2023,11/7/2022,1/12/2023,1/16/2023,5/1/2023,5/3/2023,10/11/2022,12/15/2022,4/25/2023,5/5/2023,5/5/2023,5/5/2023,5/2/2023,12/15/2022,2/6/2023,5/12/2023,5/11/2023,5/15/2023,5/17/2023,5/18/2023,5/28/2023,5/28/2023,5/29/2023,5/30/2023,5/31/2023,6/1/2023,6/5/2023,6/5/2023,6/6/2023
"UNGER SORUM, FELIX","5' 11""",170,RIGHT WING,LEKSAND JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,80,,53,,,73,83,90,105,,92,91,85,68
"PEDDLE, TYLER","6' 0""",195,LEFT WING,DRUMMONDVILLE,QMJHL,,,,,,47,,,53,54,79,,58,,,61,,,,,,,,,,28,,,,,,,,56,,,,,,54,,,,,,64,73,,,,,,,,,,98,,83,,96,,98,,,,129,69
"CIERNIK, ALEX","5' 11""",176,LEFT WING,SODERTALJE,SWEDEN-2,,,,,24,31,30,,,,59,,63,27,40,42,,50,61,24,,,,,,,,,,,,,42,78,,38,67,27,42,62,,53,21,32,,17,29,44,,68,,61,,53,42,26,66,,93,36,87,70,69,19,83,33,65,70
"FOWLER, JACOB","6' 1""",212,GOALIE,YOUNGSTOWN,USHL,,,,,,57,,,,,,,,,,63,,47,59,,,,,,,,,,,,,,,85,,60,62,,,,,,26,,,,,,,62,,47,,,22,66,,,,51,45,58,77,,71,64,73,71
"HAMEENAHO, LENNI","6' 0""",173,RIGHT WING,ASSAT,FINLAND,,,,,,,45,,49,41,46,,42,,37,45,,59,69,,,,,,,,,,,,,,45,77,,56,66,,55,82,,61,44,,,,85,30,,67,54,,,62,49,,41,,27,49,84,69,55,66,56,53,61,73
"TERRANCE, CAREY","6' 0""",175,CENTER,ERIE,OHL,,,,,,,,,60,,73,,77,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,34,58,68,,,55,,,,85,68,78,,60,89,54,,49,62,67,74,128,74
"DOWER NILSSON, NOAH","6' 0""",174,LEFT WING,FROLUNDA JR.,SWEDEN-JR.,,,,,,40,39,,36,27,36,,48,,43,58,26,30,57,,,,,25,25,,,24,28,27,,,,63,,33,42,,52,50,,30,20,,,51,47,52,,45,36,40,24,35,26,69,68,,80,78,123,45,107,92,87,43,64,75
"GAJAN, ADAM","6' 2""",167,GOALIE,CHIPPEWA,NAHL,,,33,31,,,,,,,74,,56,,,,,,,,,,32,,,,,,,,,,,90,,32,50,,,,,,,,,,,71,,63,,,,60,98,,79,,33,,63,65,71,,53,68,100,76
"MYATOVIC, NICO","6' 2""",182,LEFT WING,SEATTLE,WHL,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,79,,,,,,,,97,,74,,,,,,67,81,32,70,65,76,76,45,76,49,66,112,77
"RYKOV, ALEXANDER","6' 0""",176,RIGHT WING,CHELMET,RUSSIA-2,,,,,,,49,,,,,,,,,53,31,35,47,47,,,,,,,,,,,,,,50,,58,70,,51,,,34,,,,,,,,71,,56,,51,77,53,,,42,64,88,73,134,73,,60,59,78
"PITRE, COULSON","6' 0""",172,RIGHT WING,FLINT,OHL,,,,,,,59,,43,61,48,,67,,,,,,53,,,,,,47,,,,,,,,,69,,,63,,59,,,,,,,,86,72,,64,51,,,,,81,63,,69,82,62,67,56,,60,72,53,79
"BARKEY, DENVER","5' 8""",155,CENTER,LONDON,OHL,,,,,,,,,,,,,,,30,34,,54,63,50,,,,,,,,,,,,,,79,,52,65,,34,68,,47,45,,,52,61,74,,66,,52,,,56,38,50,,74,38,80,68,101,43,81,83,79,80
"RATZLAFF, SCOTT","6' 0""",175,GOALIE,SEATTLE,WHL,,,,,,,,,,,65,,,,,,,,,,,40,,,,,,,,,,,,64,,,,,,78,,64,,,,,64,96,,,,,,,,,72,,,,89,,72,74,69,69,,81
"COUGHLIN, LUKE","5' 10""",170,DEFENSEMAN,RIMOUSKI,QMJHL,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,202,,,,,,87,83
"SUSUYEV, NIKITA","6' 0""",172,RIGHT WING,SPARTAK JR.,RUSSIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,135,,,,,84
"MANIA, MATTHEW","6' 1""",180,DEFENSEMAN,SUDBURY,OHL,,,,,,,,,,,,,,,,59,,62,39,,,,,,,,,,,,,,,82,,69,68,,49,88,,,,,,,,,,69,,,,,58,75,,,,56,101,71,90,88,86,88,46,85
"KARKI, ARTTU","6' 2""",176,DEFENSEMAN,TAPPARA JR.,FINLAND-JR.,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,81,,57,,,,60,71,,,,,,,,,,,,,,73,,41,,84,80,130,86
"KIISKINEN, JESSE","5' 11""",178,RIGHT WING,PELICANS JR.,FINLAND-JR.,,,,,,60,46,,35,37,39,,49,,,,,,,,,,,31,31,,17,21,32,,,,,67,,,55,,,,,,,,,,49,60,,55,42,,,,,,60,,65,84,55,57,80,96,65,59,95,87
"NILSSON, FELIX","6' 0""",176,CENTER,ROGLE JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,44,,48,55,,,,,,,,,,,,,32,,70,,65,64,,56,,,,,,,,,81,,65,,,,,92,45,,,,71,51,78,48,46,,75,41,88
"LOSHKO, ANDREI","6' 1""",173,CENTER,CHICOUTIMI,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,138,,133,,,,104,89
"MIEDEMA, ETHAN","6' 4""",203,LEFT WING,KINGSTON,OHL,,,,,,,,,54,64,61,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,41,57,76,,,,,,,,,64,,86,,109,,81,,,86,,90
"MACKINNON, DYLAN","6' 2""",185,DEFENSEMAN,HALIFAX,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,80,,,,,,,,,,,57,,128,,91,,89,,108,91
"URONEN, TUOMAS","5' 11""",183,RIGHT WING,HIFK JR.,FINLAND-JR.,,,,,,59,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,72,,,,,,,60,73,,,,,,,,,,,99,,,,97,,88,,80,92
"MUSSER, CARSEN","6' 4""",215,GOALIE,USA U-18,NTDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,151,,138,,,,,93
"MANN, MATTEO","6' 5""",222,DEFENSEMAN,CHICOUTIMI,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,79,,160,,,,,,,94
"SQUIRES, CAM","6' 0""",165,RIGHT WING,CAPE BRETON,QMJHL,,,,,,62,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,87,,,,,,,,,90,,95
"WAHLBERG, ANTON","6' 3""",194,CENTER,MALMO JR.,SWEDEN-JR.,,,,,,,,,,53,47,,,,,47,,,75,,,,,,45,,,,,,,,,53,,,,,63,92,,,,,34,,,58,,,44,51,,,31,37,29,,66,45,28,,33,36,42,70,60,96
"NORDH, NOEL","6' 2""",196,LEFT WING,BRYNAS JR.,SWEDEN-JR.,,,,,,,,23,58,60,75,,61,,,,,,,,27,36,,,,,,,,,,,,84,,,,,,58,,,,,,,54,64,,,,,,,93,42,97,,71,67,94,,113,42,75,96,99,97
"ZAVRAGIN, EGOR","6' 2""",183,GOALIE,KHANTY-MANSIYSK JR.,RUSSIA-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,56,,,,,,,,,,,,,,,,,,,,66,134,,,,,,,98
"NELSON, DANNY","6' 3""",202,CENTER,USA U-18,NTDP,,,,,,33,57,,37,38,44,,34,,,,,,,,,,,,48,,,,,,,,,88,,41,61,,,53,,,35,,33,50,37,35,,61,43,64,,57,46,,28,,98,,49,63,32,63,43,50,43,99
"JARVENTIE, EMIL","5' 10""",167,LEFT WING,ILVES JR.,FINLAND-JR.,,,,,,43,58,12,32,40,45,,,,,,,,,35,28,,,,,27,,,,,,,,87,,,,,,89,,,,,,45,38,63,,,57,,,59,79,,62,,,96,100,79,111,98,93,79,,100
"NURMI, JESSE","5' 10""",165,LEFT WING,KOOKOO JR.,FINLAND-JR.,,,,,,51,,,,,,,,,,,,,,42,,,,,,,,,,,,,,58,,44,,,,85,15,23,39,,,49,78,94,,,,,,,57,78,,,95,,91,100,108,80,,78,,101
"SUNIEV, AYDAR","6' 2""",198,LEFT WING,PENTICTON,BCHL,,,,,,,53,,,,43,,,,,60,,57,60,,,,,,,,,,,,,,,86,,63,,,50,,,,,,,,,83,,,,,,,,50,36,,84,47,112,87,75,58,59,54,69,102
"MOLNAR, ONDREJ","5' 10""",170,LEFT WING,ERIE,OHL,,,,,,52,,,,,,,68,,,,,,,36,,38,,,,,,,,,,,46,74,,,,28,,66,,,,,,25,21,49,,,,,,,53,,,,,,122,,,,,,,103
"PETR, DOMINIK","6' 2""",172,CENTER,LUKKO JR.,FINLAND-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,26,36,,,,,,,,60,,,,,,,,,,,,,104
"KUMPULAINEN, RASMUS","6' 2""",191,CENTER,PELICANS JR.,FINLAND-JR.,,,,,,,,,,,64,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,90,,,,,,,75,,69,,94,,86,84,103,,,95,96,105
"GIBSON, ANDREW","6' 3""",196,DEFENSEMAN,SAULT STE. MARIE,OHL,,,,,,,,,,,63,,51,,,,,,,,,,,,,,,,,,,,,73,,,74,,,,,,,,,,80,86,,75,60,,,,,,59,,41,93,59,77,54,85,57,,77,106
"LIPINSKI, JADEN","6' 4""",204,CENTER,VANCOUVER,WHL,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,55,80,,,,189,,117,61,100,81,,107
"TOWNSEND, TEDDY","5' 10""",162,CENTER,EDEN PRAIRIE,HIGH-MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,94,,,,,,215,,,,,,,108
"FORSFJALL, ZEB","5' 9""",167,CENTER,SKELLEFTEA JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,23,28,,,,,,,,,,,,27,,,,,,,,,,,,62,,,,,,,,87,,,,91,,141,,102,77,90,,133,109
"BURNS, QUINTON","6' 1""",180,DEFENSEMAN,KINGSTON,OHL,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,91,,,,,61,,,,,,,,,99,,,,,,,,79,84,,64,69,75,98,122,75,98,,51,110
"PHARAND, ALEX","6' 2""",198,CENTER,SUDBURY,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,91,,,,,,,,,,,85,,140,,78,,74,,124,111
"HIGGINS, TY","6' 0""",187,DEFENSEMAN,ACADIE-BATHURST,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,220,,,,,,,112
"SPRYNAR, JAN","6' 1""",173,RIGHT WING,RIMOUSKI,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,56,,219,,,,,,,113
"STANLEY, HOYT","6' 2""",187,DEFENSEMAN,VICTORIA,BCHL,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,80,64,95,92,,,98,84,114
"HENDRICKSON, BECKETT","6' 2""",174,CENTER,USA U-18,NTDP,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,109,,,94,58,115
"SOTO, MATTHEW","5' 10""",179,RIGHT WING,KINGSTON,OHL,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,96,,,,,,98,,62,,,,59,66,75,,,,,,,,,,,,85,156,96,,55,,,,116
"LEVIS, CONNOR","6' 1""",187,RIGHT WING,KAMLOOPS,WHL,,,,,,54,,,62,63,72,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,76,,,,,,48,70,,,,,,,,100,,99,,,,214,88,110,,,82,63,117
"COWAN, EASTON","5' 10""",170,RIGHT WING,LONDON,OHL,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,64,44,,89,68,78,93,95,59,70,97,66,118
"LESLIE, MAZDEN","6' 0""",193,DEFENSEMAN,VANCOUVER,WHL,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,63,,,,,,,,,,,,,,144,,,,,92,,120
"THORESON, GAVYN","5' 8""",183,RIGHT WING,ANDOVER,HIGH-MN,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,,,,,,105,121
"MERCER, RILEY","6' 2""",203,GOALIE,DRUMMONDVILLE,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122
"HAGENS, MICHAEL","5' 11""",170,DEFENSEMAN,CHICAGO,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,93,,,,,,,,,,121,123
"SVOBODA, BRANDON","6' 3""",205,CENTER,YOUNGSTOWN,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,117,,79,,,,,124
"FINK, AIDEN","5' 9""",153,RIGHT WING,BROOKS,AJHL,,,,,,,60,,,,,,,,,,,,78,,,,,,,,,,,,,,,95,,,75,,,,,,,,,,,,,,,,,,,,,,,,132,80,70,,72,73,92,125
"HENNEBERRY, JOSEPH","6' 2""",185,LEFT WING,ACADIE-BATHURST,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,126
"LAVIGNE, MAEL","6' 2""",177,CENTER,VICTORIAVILLE,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127
"SHAUGABAY, JAYSON","5' 9""",153,RIGHT WING,WARROAD,HIGH-MN,,,,,,,,,,43,40,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,54,,,,,,,67,,52,,88,,93,,,,99,,98,128
"CHALYI, GENNADII","5' 10""",201,DEFENSEMAN,WATERLOO,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,129
"MISIAK, MARTIN","6' 2""",194,RIGHT WING,YOUNGSTOWN,USHL,,,,,,,,,,,,,76,,,56,,,,43,,,,,,,,,,,,,,75,,,,,47,65,,,27,,,,97,92,,,,,,,54,34,,,,58,81,89,66,35,73,87,115,130
"MITTELSTADT, LUKE","5' 11""",185,DEFENSEMAN,MINNESOTA,BIG10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,91,,,,198,,,,,,119,131
"HURTIG, AXEL","6' 4""",202,DEFENSEMAN,ROGLE JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,93,,,,,132
"ASPLUND, OSKAR","5' 11""",174,DEFENSEMAN,ALMTUNA,SWEDEN-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,,,,,,,133
"BERTUCCI, TRISTAN","6' 2""",172,DEFENSEMAN,FLINT,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,96,73,100,,87,76,58,94,83,90,64,76,,134
"BURBIDGE, COLE","6' 1""",170,CENTER,SAINT JOHN,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,,,,135
"STANCL, JAKUB","6' 3""",201,CENTER,VAXJO JR.,SWEDEN-JR.,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,88,,,,,,,,,,,,,111,,,81,,,,136
"BLOMQUIST, IAN","6' 2""",187,GOALIE,VASTERAS,SWEDEN-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,138
"ROY, PIER-OLIVIER","5' 10""",165,DEFENSEMAN,VICTORIAVILLE,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139
"PATTERSON, LUKE","6' 0""",181,CENTER,CAPE BRETON,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,140
"BERGSTROM, ARVID","5' 11""",161,DEFENSEMAN,DJURGARDEN JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,93,,,,,,,,,,,,,,,,72,,,,63,,92,,57,,,,141
"SIEPMANN, GRAYDEN","5' 10""",185,DEFENSEMAN,CALGARY,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,142
"BOUROSH, DANIIL","6' 1""",188,RIGHT WING,ROUYN-NORANDA,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143
"VOTE, WILLIAM","5' 8""",160,RIGHT WING,USA U-18,NTDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,116,,,95,,,,144
"SZTURC, GABRIEL","5' 11""",186,CENTER,KELOWNA,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,89,,85,,,145
"ROBERTSON, CHARLIE","6' 3""",167,GOALIE,NORTH BAY,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147
"LIVANAVAGE, JAKE","5' 10""",175,DEFENSEMAN,CHICAGO,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,148
"HAMMELL, KADEN","6' 1""",173,DEFENSEMAN,EVERETT,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,149
"KUUSLA, EMIL","5' 9""",167,LEFT WING,JOKERIT JR.,FINLAND-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150
"BROWN, COLE","6' 2""",178,LEFT WING,HAMILTON,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,,,,,,111,151
"PEKARCIK, JURAJ","6' 1""",183,LEFT WING,NITRA,SLOVAKIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,42,,,100,79,,43,99,79,67,67,152
"GARDINER, BRAD","6' 0""",178,CENTER,OTTAWA,OHL,,,,,,,,,,45,69,,73,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,88,,46,,163,,,,,,,153
"LUDTKE, TANNER","6' 0""",185,CENTER,LINCOLN,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,93,,,,,,,61,,,,,98,69,82,,,97,84,,154
"WEINSTEIN, SAIGE","6' 0""",179,DEFENSEMAN,SPOKANE,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,155
"DAIGLE, XAVIER","5' 11""",178,DEFENSEMAN,CAPE BRETON,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156
"LEPPA, TOM","6' 0""",174,CENTER,JOKERIT JR.,FINLAND-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,221,,,,,,,158
"FINE, RYAN","5' 7""",177,CENTER,USA U-18,NTDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,83,,91,,78,,,,159
"ROEST, AUSTIN","5' 10""",175,CENTER,EVERETT,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,160
"LOUNSBURY, PRESTON","5' 11""",166,CENTER,MONCTON,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161
"SUCHANEK, TOMAS","6' 0""",180,GOALIE,TRI-CITY,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,,,,,,,162
"WERSALL, MELVIN","6' 0""",158,LEFT WING,DJURGARDEN JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163
"BRUNELLE, BENJAMIN","6' 3""",188,RIGHT WING,ROUYN-NORANDA,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164
"BURNEVIK, AUSTIN","6' 4""",199,RIGHT WING,USA U-17,NTDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,166
"MYNIO, SAWYER","6' 1""",173,DEFENSEMAN,SEATTLE,WHL,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,167
"HALABURDA, TY","5' 11""",178,CENTER,VANCOUVER,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,168
"VERMETTE, EMMANUEL","6' 0""",193,LEFT WING,CHICOUTIMI,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169
"SIDOROV, YEGOR","6' 0""",182,RIGHT WING,SASKATOON,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,140,,77,,114,170
"ZIDLICKY, ADAM","6' 0""",174,LEFT WING,MISSISSAUGA,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
"MILIC, THOMAS","6' 0""",179,GOALIE,SEATTLE,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,173
"PIENINIEMI, EMIL","6' 2""",170,DEFENSEMAN,KARPAT JR.,FINLAND-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,191,,64,,,,135,174
"THORNTON, HUDSON","5' 11""",180,DEFENSEMAN,PRINCE GEORGE,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,175
"GILL, JUSTIN","6' 1""",190,CENTER,SHERBROOKE,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,,,,,,,176
"BULANS, PETERIS","6' 0""",185,DEFENSEMAN,CHICOUTIMI,QMJHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177
"WIKMAN, ALBERT","6' 0""",191,DEFENSEMAN,FARJESTAD JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,60,71,,92,,74,81,121,91,,,86,179
"SCHULZ, ZACHARY","6' 1""",195,DEFENSEMAN,USA U-18,NTDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,118,,,,,180
"VESTERHEIM, PETTER","5' 11""",165,CENTER,MORA JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,94,216,,88,100,,,,182
"DE LUCA, TOMMASO","5' 11""",178,CENTER,SPOKANE,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,183
"MACDONELL, ANGUS","5' 9""",180,CENTER,MISSISSAUGA,OHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,100,,185
"JENCKO, DANIEL ALEXANDER","5' 11""",165,CENTER,MALMO JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186
"FISCHER, PAUL","6' 1""",195,DEFENSEMAN,USA U-18,NTDP,,,,,,63,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,89,,,,,,,72,,89,,,,161,,119,,,,118,187
"KOSTADINSKI, KRISTIAN","6' 5""",213,DEFENSEMAN,FROLUNDA JR.,SWEDEN-JR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,188
"PARKER, KALEM","6' 0""",192,DEFENSEMAN,VICTORIA,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,189
